row_index,code_hash,code_length,id,topic,instruction,code_file,count
5082,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5082,Change weight measurement values,"Create a data processing pipeline using Pandas to load a weight data file, clean the data, and generate a new column for standardized weight values.",1_4.py,1291
5083,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5083,Convert length units simply,"Write an efficient script that reads a list of lengths from a file and prints the equivalent lengths in yards, assuming the input is in meters.",0_6.py,1291
5084,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5084,Change weight measurement values,"Write a complete, robust Python script to read weight measurements from a CSV file and calculate the average weight for each category, ensuring efficient file handling.",1_0.py,1291
5085,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5085,Change weight measurement values,"Write a complete, robust Python script that reads weight measurements from a CSV file, converts all values to floating-point numbers, and calculates the average weight, ensuring error handling for non-numeric entries.",1_10.py,1291
5086,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5086,Scale volume measurements easily,"Write a complete, high-quality Python script that reads volume measurements from a file and calculates the total volume, handling potential float conversion errors gracefully.",2_10.py,1291
5087,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5087,Scale volume measurements easily,Write a command-line interface (CLI) script using the 'argparse' module that prompts the user for a list of volume values and calculates the arithmetic mean and the standard deviation of these volumes. Ensure the statistical calculations are highly efficient.,2_13.py,1291
5088,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5088,Convert temperature readings now,"Write a complete, robust Python script that reads temperature readings from a specified CSV file and calculates the average temperature, ensuring error handling for file I/O.",3_0.py,1291
5089,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5089,Convert temperature readings now,"Write a script that reads temperature data from standard input, parses each line to extract the temperature and unit, and prints the converted temperature in Kelvin to standard output.",3_3.py,1291
5090,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5090,Convert temperature readings now,Create a command-line interface (CLI) script using the `argparse` module that accepts a file path and converts all temperature values within that file from Celsius to Fahrenheit.,3_6.py,1291
5091,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5091,Change weight measurement values,"Create a function that takes a list of weight measurements and applies a specified percentage change (as a decimal) to every measurement, returning the new list of weights. Ensure the implementation is vectorized or highly optimized for large lists.",1_14.py,1291
5092,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5092,Adjust distance units correctly,"Write a robust script that reads distance inputs from standard input, validates the input format, and converts all provided distances to a standardized unit (e.g., meters) before printing the results.",4_3.py,1291
5093,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5093,Convert temperature readings now,"Create a command-line interface (CLI) Python script using the `argparse` module that accepts an input file path and performs the batch conversion of temperature data from Celsius to Fahrenheit, ensuring the script is fully optimized for performance and includes informative error messages.",3_14.py,1291
5094,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5094,Adjust distance units correctly,"Generate a command-line interface (CLI) script using the 'argparse' module. This script must allow the user to input two distances and a desired output unit, and then correctly adjust and display the result in the chosen unit, prioritizing error handling for invalid unit inputs.",4_14.py,1291
5095,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5095,Compare two length measurements,"Create a script that defines two variables for length measurements and uses conditional statements to print a formatted comparison sentence, such as 'Length A is longer than Length B by X units'.",5_4.py,1291
5096,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5096,Calculate simple weight differences,Develop a command-line interface (CLI) script using the `argparse` module that accepts two weight arguments and outputs the calculated difference to standard output.,6_9.py,1291
5097,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5097,Convert time units accurately,"Write a command-line interface (CLI) script using the `argparse` module that prompts the user to input a time value and the desired conversion, and then accurately performs the conversion between hours and minutes.",7_13.py,1291
5098,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5098,Convert time units accurately,"Create a comprehensive utility function that takes a time string in 'HH:MM:SS' format and converts it into a total number of seconds, and then converts that total into a human-readable string format (e.g., 'X days, Y hours, Z minutes').",7_14.py,1291
5099,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5099,Change weight measurement values,"Write a script that reads weight data from standard input, processes the data to calculate the median weight, and prints the result formatted to two decimal places. Use the `statistics` module if appropriate.",1_13.py,1291
5100,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5100,Change volume units simply,"Write a command-line interface (CLI) script using Python's `argparse` module. The script should allow the user to specify an input volume, the input unit, and the desired output unit, and then perform the conversion using the logic developed in the previous steps. Prioritize robust error handling.",9_13.py,1291
5101,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5101,Compare two temperature values,"Write a concise and efficient Python snippet to compare two temperature readings, `t_actual` and `t_expected`, and calculate the absolute difference between them.",10_3.py,1291
5102,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,5102,Compare two temperature values,"Write a complete, robust Python script that takes two temperature readings as input and calculates the arithmetic mean, ensuring the output is formatted to two decimal places.",10_10.py,1291
